periodo,sector,concursos
2020Q3,J Información y comunicaciones,46
2020Q4,J Información y comunicaciones,52
2021Q1,J Información y comunicaciones,56
2021Q2,J Información y comunicaciones,50
2021Q3,J Información y comunicaciones,26
2021Q4,J Información y comunicaciones,26
2022Q1,J Información y comunicaciones,54
2022Q2,J Información y comunicaciones,54
2022Q3,J Información y comunicaciones,60
2022Q4,J Información y comunicaciones,37
2023Q1,J Información y comunicaciones,37
2023Q2,J Información y comunicaciones,42
2023Q3,J Información y comunicaciones,35
2023Q4,J Información y comunicaciones,36
2024Q1,J Información y comunicaciones,74
2024Q2,J Información y comunicaciones,87
2024Q3,J Información y comunicaciones,60
2024Q4,J Información y comunicaciones,67
2025Q1,J Información y comunicaciones,82
2025Q2,J Información y comunicaciones,52
2025Q3,J Información y comunicaciones,67
2025Q4,J Información y comunicaciones,86
2011Q1,M Actividades profesionales y técnicas,92
2011Q2,M Actividades profesionales y técnicas,53
2011Q3,M Actividades profesionales y técnicas,43
2011Q4,M Actividades profesionales y técnicas,75
2012Q1,M Actividades profesionales y técnicas,85
2012Q2,M Actividades profesionales y técnicas,92
2012Q3,M Actividades profesionales y técnicas,61
2012Q4,M Actividades profesionales y técnicas,117
2013Q1,M Actividades profesionales y técnicas,162
2013Q2,M Actividades profesionales y técnicas,156
2013Q3,M Actividades profesionales y técnicas,129
2013Q4,M Actividades profesionales y técnicas,126
2014Q1,M Actividades profesionales y técnicas,120
2014Q2,M Actividades profesionales y técnicas,100
2014Q3,M Actividades profesionales y técnicas,88
2014Q4,M Actividades profesionales y técnicas,117
2015Q1,M Actividades profesionales y técnicas,119
2015Q2,M Actividades profesionales y técnicas,93
2015Q3,M Actividades profesionales y técnicas,82
2015Q4,M Actividades profesionales y técnicas,96
2016Q1,M Actividades profesionales y técnicas,101
2016Q2,M Actividades profesionales y técnicas,87
2016Q3,M Actividades profesionales y técnicas,64
2016Q4,M Actividades profesionales y técnicas,97
2017Q1,M Actividades profesionales y técnicas,102
2017Q2,M Actividades profesionales y técnicas,104
2017Q3,M Actividades profesionales y técnicas,65
2017Q4,M Actividades profesionales y técnicas,79
2018Q1,M Actividades profesionales y técnicas,82
2018Q2,M Actividades profesionales y técnicas,95
2018Q3,M Actividades profesionales y técnicas,55
2018Q4,M Actividades profesionales y técnicas,83
2019Q1,M Actividades profesionales y técnicas,79
2019Q2,M Actividades profesionales y técnicas,85
2019Q3,M Actividades profesionales y técnicas,80
2019Q4,M Actividades profesionales y técnicas,107
2020Q1,M Actividades profesionales y técnicas,90
2020Q2,M Actividades profesionales y técnicas,61
2020Q3,M Actividades profesionales y técnicas,81
2020Q4,M Actividades profesionales y técnicas,100
2021Q1,M Actividades profesionales y técnicas,94
2021Q2,M Actividades profesionales y técnicas,83
2021Q3,M Actividades profesionales y técnicas,50
2021Q4,M Actividades profesionales y técnicas,61
2022Q1,M Actividades profesionales y técnicas,88
2022Q2,M Actividades profesionales y técnicas,69
2022Q3,M Actividades profesionales y técnicas,119
2022Q4,M Actividades profesionales y técnicas,81
2023Q1,M Actividades profesionales y técnicas,57
2023Q2,M Actividades profesionales y técnicas,88
2023Q3,M Actividades profesionales y técnicas,76
2023Q4,M Actividades profesionales y técnicas,83
2024Q1,M Actividades profesionales y técnicas,125
2024Q2,M Actividades profesionales y técnicas,99
2024Q3,M Actividades profesionales y técnicas,87
2024Q4,M Actividades profesionales y técnicas,107
2025Q1,M Actividades profesionales y técnicas,121
2025Q2,M Actividades profesionales y técnicas,87
2025Q3,M Actividades profesionales y técnicas,67
2025Q4,M Actividades profesionales y técnicas,116
2011Q1,N Actividades administrativas y servicios auxiliares,55
2011Q2,N Actividades administrativas y servicios auxiliares,43
2011Q3,N Actividades administrativas y servicios auxiliares,35
2011Q4,N Actividades administrativas y servicios auxiliares,59
2012Q1,N Actividades administrativas y servicios auxiliares,62
2012Q2,N Actividades administrativas y servicios auxiliares,81
2012Q3,N Actividades administrativas y servicios auxiliares,50
2012Q4,N Actividades administrativas y servicios auxiliares,94
2013Q1,N Actividades administrativas y servicios auxiliares,216
2013Q2,N Actividades administrativas y servicios auxiliares,95
2013Q3,N Actividades administrativas y servicios auxiliares,74
2013Q4,N Actividades administrativas y servicios auxiliares,70
2014Q1,N Actividades administrativas y servicios auxiliares,82
2014Q2,N Actividades administrativas y servicios auxiliares,73
2014Q3,N Actividades administrativas y servicios auxiliares,46
2014Q4,N Actividades administrativas y servicios auxiliares,83
2015Q1,N Actividades administrativas y servicios auxiliares,60
2015Q2,N Actividades administrativas y servicios auxiliares,73
2015Q3,N Actividades administrativas y servicios auxiliares,39
2015Q4,N Actividades administrativas y servicios auxiliares,50
2016Q1,N Actividades administrativas y servicios auxiliares,59
2016Q2,N Actividades administrativas y servicios auxiliares,73
2016Q3,N Actividades administrativas y servicios auxiliares,48
2016Q4,N Actividades administrativas y servicios auxiliares,50
2017Q1,N Actividades administrativas y servicios auxiliares,65
2017Q2,N Actividades administrativas y servicios auxiliares,49
2017Q3,N Actividades administrativas y servicios auxiliares,41
2017Q4,N Actividades administrativas y servicios auxiliares,56
2018Q1,N Actividades administrativas y servicios auxiliares,62
2018Q2,N Actividades administrativas y servicios auxiliares,58
2018Q3,N Actividades administrativas y servicios auxiliares,38
2018Q4,N Actividades administrativas y servicios auxiliares,80
2019Q1,N Actividades administrativas y servicios auxiliares,78
2019Q2,N Actividades administrativas y servicios auxiliares,57
2019Q3,N Actividades administrativas y servicios auxiliares,60
2019Q4,N Actividades administrativas y servicios auxiliares,67
2020Q1,N Actividades administrativas y servicios auxiliares,76
2020Q2,N Actividades administrativas y servicios auxiliares,34
2020Q3,N Actividades administrativas y servicios auxiliares,81
2020Q4,N Actividades administrativas y servicios auxiliares,114
2021Q1,N Actividades administrativas y servicios auxiliares,80
2021Q2,N Actividades administrativas y servicios auxiliares,55
2021Q3,N Actividades administrativas y servicios auxiliares,49
2021Q4,N Actividades administrativas y servicios auxiliares,38
2022Q1,N Actividades administrativas y servicios auxiliares,54
2022Q2,N Actividades administrativas y servicios auxiliares,55
2022Q3,N Actividades administrativas y servicios auxiliares,57
2022Q4,N Actividades administrativas y servicios auxiliares,57
2023Q1,N Actividades administrativas y servicios auxiliares,38
2023Q2,N Actividades administrativas y servicios auxiliares,50
2023Q3,N Actividades administrativas y servicios auxiliares,36
2023Q4,N Actividades administrativas y servicios auxiliares,48
2024Q1,N Actividades administrativas y servicios auxiliares,86
2024Q2,N Actividades administrativas y servicios auxiliares,77
2024Q3,N Actividades administrativas y servicios auxiliares,55
2024Q4,N Actividades administrativas y servicios auxiliares,79
2025Q1,N Actividades administrativas y servicios auxiliares,71
2025Q2,N Actividades administrativas y servicios auxiliares,67
2025Q3,N Actividades administrativas y servicios auxiliares,48
2025Q4,N Actividades administrativas y servicios auxiliares,70
2011Q1,Resto de servicios,41
2011Q2,Resto de servicios,46
2011Q3,Resto de servicios,47
2011Q4,Resto de servicios,55
2012Q1,Resto de servicios,73
2012Q2,Resto de servicios,72
2012Q3,Resto de servicios,68
2012Q4,Resto de servicios,89
2013Q1,Resto de servicios,109
2013Q2,Resto de servicios,91
2013Q3,Resto de servicios,76
2013Q4,Resto de servicios,84
2014Q1,Resto de servicios,105
2014Q2,Resto de servicios,87
2014Q3,Resto de servicios,77
2014Q4,Resto de servicios,71
2015Q1,Resto de servicios,101
2015Q2,Resto de servicios,59
2015Q3,Resto de servicios,63
2015Q4,Resto de servicios,96
2016Q1,Resto de servicios,77
2016Q2,Resto de servicios,81
2016Q3,Resto de servicios,64
2016Q4,Resto de servicios,99
2017Q1,Resto de servicios,86
2017Q2,Resto de servicios,103
2017Q3,Resto de servicios,47
2017Q4,Resto de servicios,106
2018Q1,Resto de servicios,105
2018Q2,Resto de servicios,103
2018Q3,Resto de servicios,60
2018Q4,Resto de servicios,79
2019Q1,Resto de servicios,93
2019Q2,Resto de servicios,73
2019Q3,Resto de servicios,68
2019Q4,Resto de servicios,92
2020Q1,Resto de servicios,73
2020Q2,Resto de servicios,66
2020Q3,Resto de servicios,106
2020Q4,Resto de servicios,181
2021Q1,Resto de servicios,129
2021Q2,Resto de servicios,109
2021Q3,Resto de servicios,79
2021Q4,Resto de servicios,84
2022Q1,Resto de servicios,89
2022Q2,Resto de servicios,82
2022Q3,Resto de servicios,127
2022Q4,Resto de servicios,123
2023Q1,Resto de servicios,70
2023Q2,Resto de servicios,91
2023Q3,Resto de servicios,102
2023Q4,Resto de servicios,120
2024Q1,Resto de servicios,112
2024Q2,Resto de servicios,123
2024Q3,Resto de servicios,98
2024Q4,Resto de servicios,109
2025Q1,Resto de servicios,129
2025Q2,Resto de servicios,113
2025Q3,Resto de servicios,86
2025Q4,Resto de servicios,127
2011Q1,Total,1568
2011Q2,Total,1487
2011Q3,Total,1206
2011Q4,Total,1649
2012Q1,Total,2046
2012Q2,Total,2092
2012Q3,Total,1523
2012Q4,Total,2434
2013Q1,Total,2709
2013Q2,Total,2455
2013Q3,Total,1801
2013Q4,Total,2178
2014Q1,Total,1927
2014Q2,Total,1739
2014Q3,Total,1325
2014Q4,Total,1573
2015Q1,Total,1460
2015Q2,Total,1307
2015Q3,Total,1070
2015Q4,Total,1260
2016Q1,Total,1085
2016Q2,Total,1127
2016Q3,Total,913
2016Q4,Total,1172
2017Q1,Total,1104
2017Q2,Total,1214
2017Q3,Total,807
2017Q4,Total,1136
2018Q1,Total,1103
2018Q2,Total,1243
2018Q3,Total,845
2018Q4,Total,1141
2019Q1,Total,1214
2019Q2,Total,1155
2019Q3,Total,1041
2019Q4,Total,1379
2020Q1,Total,1192
2020Q2,Total,802
2020Q3,Total,1137
2020Q4,Total,1499
2021Q1,Total,1260
2021Q2,Total,1115
2021Q3,Total,794
2021Q4,Total,929
2022Q1,Total,1125
2022Q2,Total,1061
2022Q3,Total,1432
2022Q4,Total,1137
2023Q1,Total,912
2023Q2,Total,1255
2023Q3,Total,1027
2023Q4,Total,1350
2024Q1,Total,1526
2024Q2,Total,1474
2024Q3,Total,1192
2024Q4,Total,1397
2025Q1,Total,1666
2025Q2,Total,1435
2025Q3,Total,1157
2025Q4,Total,1613
